"","cropID","sci_name","Agr_Ecol_Opt_Soildp_Medium","Agr_Ecol_Silt_Max","Agr_Ecol_Silt_Min","Agr_Ecol_Sand_Max","Agr_Ecol_Sand_Min","Agr_Ecol_Clay_Max","Agr_Ecol_Clay_Min","Agr_Ecol_Opt_Temp_Min","Agr_Ecol_Opt_Temp_Max","Agr_Ecol_Abs_Temp_Min","Agr_Ecol_Abs_Temp_Max","Agr_Ecol_Opt_Rain_Min","Agr_Ecol_Opt_Rain_Max","Agr_Ecol_Abst_Rain_Min","Agr_Ecol_Abs_Rain_Max","Ecocrop_Crop_Cycle_Min","Ecocrop_Crop_Cycle_Max"
"1505","10001000049","Eragrostis tef","shallow (20-50 cm)","100","0","100","0","40","0",22,28,2,30,600,1200,300,2500,65,150
"1509","10001000035","Cajanus cajan","deep (>>150 cm)","100","0","80","0","40","0",18,38,10,45,600,1500,400,4000,90,365
"1609","10001000065","Allium tuberosum","shallow (20-50 cm)","100","0","80","0","40","0",10,20,2,35,850,2200,300,4000,70,100
"1660","10001000055","Capsicum frutescens","shallow (20-50 cm)","100","0","80","0","40","0",18,30,7,40,600,1500,400,2000,120,180
"1671","10001000106","Carica papaya","deep (>>150 cm)","100","0","80","0","40","0",21,30,12,44,1500,2500,1000,3000,330,365
"1711","10001000001","Gynandropsis gynandra","deep (>>150 cm)","100","0","70","0","40","0",18,25,10,35,0,0,0,0,0,0
"1800","10001000130","Citrullus lanatus","deep (>>150 cm)","100","0","100","0","40","0",20,35,15,40,500,700,400,1800,0,0
"1809","10001000110","Citrus grandis","deep (>>150 cm)","100","0","100","0","100","0",23,32,12,40,1500,2500,700,4000,0,0
"1869","10001000069","Cocos nucifera","deep (>>150 cm)","100","0","100","0","40","0",22,34,14,38,1200,2400,650,4000,270,365
"1900","10001000048","Colocasia esculenta","medium (50-150 cm)","100","0","80","0","40","0",21,28,10,35,1800,2700,1000,4100,180,300
"1958","10001000057","Momordica charantia","medium (50-150 cm)","88","0","70","20","27","0",22,30,15,38,2000,2500,1000,4000,50,70
"1969","10001000072","Murraya koenigii","medium (50-150 cm)","50","0","70","50","20","0",27,41,8,47,1400,1800,500,2500,150,300
"2022","10001000071","Cucumis sativus","medium (50-150 cm)","100","0","80","0","40","0",18,32,6,38,1000,1200,400,4300,40,180
"2026","10001000122","Cucurbita moschata","deep (>>150 cm)","100","0","80","0","40","0",20,30,10,40,600,1600,300,2800,80,140
"2035","10001000127","Curcuma longa","medium (50-150 cm)","100","0","80","0","40","0",20,28,18,32,1000,2000,800,3000,270,300
"2036","10001000038","Panicum miliaceum","medium (50-150 cm)","100","0","70","0","40","0",20,32,15,45,500,750,200,1000,55,280
"2066","10001000096","Cymbopogon citratus","medium (50-150 cm)","52","0","100","20","40","0",24,30,18,34,1500,3000,700,4200,120,365
"2068","10001000039","Pennisetum glaucum","deep (>>150 cm)","100","0","100","0","40","0",25,35,12,40,400,900,200,1700,60,120
"2256","10001000051","Dioscorea alata","deep (>>150 cm)","88","0","70","20","27","0",20,32,14,40,1200,4000,700,8000,220,300
"2273","10001000117","Salacca zalacca","medium (50-150 cm)","50","0","100","50","20","0",22,30,12,36,1700,3100,1400,3500,365,365
"2296","10001000119","Sauropus androgynus","medium (50-150 cm)","100","0","80","0","100","0",26,35,5,38,900,1200,600,4000,270,365
"2301","10001000077","Durio zibethinus","deep (>>150 cm)","100","0","80","0","40","0",22,40,12,45,1500,2500,1200,3500,270,365
"2317","10001000103","Elaeis guineensis","deep (>>150 cm)","100","0","80","0","100","0",20,35,12,38,1500,3000,1000,8000,300,365
